Year,Team,Conf,Seed,Wins,Losses,Win_percent,RPI,FirstRwin,SecRwin,thrdRwin,frthRwin,fifthRwin,sixthRwin
2017,South Dakota St,Summit,16,16,16,0.5,0.506,0,0,0,0,0,0
2017,Northwestern,Big10,8,23,11,0.676470588,0.579,1,0,0,0,0,0
2017,Vanderbilt,SEC,9,19,15,0.558823529,0.592,0,0,0,0,0,0
2017,Notre Dame,ACC,5,25,9,0.735294118,0.609,1,0,0,0,0,0
2017,Princeton,Ivy,12,21,6,0.777777778,0.579,0,0,0,0,0,0
2017,West Virginia,Big12,4,26,8,0.764705882,0.605,1,1,0,0,0,0
2017,Bucknell,Patriot,13,26,8,0.764705882,0.564,0,0,0,0,0,0
2017,Maryland,Big10,6,23,8,0.741935484,0.597,0,0,0,0,0,0
2017,Xavier,Big East,11,21,13,0.617647059,0.593,1,1,1,0,0,0
2017,Florida State,ACC,3,25,8,0.757575758,0.631,1,0,0,0,0,0
2017,FGCU,Atlantic Sun,14,23,7,0.766666667,0.543,0,0,0,0,0,0
2017,Saint Mary's,West Coast,7,28,4,0.875,0.621,1,0,0,0,0,0
2017,VCU,Atlantic 10,10,26,7,0.787878788,0.614,0,0,0,0,0,0
2017,Arizona,Pac-12,2,30,4,0.882352941,0.655,1,1,0,0,0,0
2017,North Dakota,Big Sky,15,19,9,0.678571429,0.515,0,0,0,0,0,0
2017,Kansas,Big 12,1,28,4,0.875,0.653,1,1,1,0,0,0
2017,UC Davis,Big West,16,20,12,0.625,0.504,0,0,0,0,0,0
2017,Miami,ACC,8,21,11,0.65625,0.587,0,0,0,0,0,0
2017,Michigan St,Big10,9,19,14,0.575757576,0.578,1,0,0,0,0,0
2017,Iowa St,Big12,5,23,10,0.696969697,0.611,1,0,0,0,0,0
2017,Nevada,Mountain,12,28,6,0.823529412,0.601,0,0,0,0,0,0
2017,Purdue,Big10,4,25,7,0.78125,0.613,1,1,0,0,0,0
2017,Vermont,America East,13,28,5,0.848484848,0.584,0,0,0,0,0,0
2017,Creighton,Big East,6,24,9,0.727272727,0.603,0,0,0,0,0,0
2017,Rhode Island,Atlantic 10,11,23,9,0.71875,0.593,1,0,0,0,0,0
2017,Oregon,Pac-12,3,28,5,0.848484848,0.643,1,1,1,1,0,0
2017,Iona,MAAC,14,22,12,0.647058824,0.541,0,0,0,0,0,0
2017,Michigan,Big10,7,23,11,0.676470588,0.599,1,1,0,0,0,0
2017,Oklahoma St,Big 12,10,19,12,0.612903226,0.588,0,0,0,0,0,0
2017,Louisville,ACC,2,24,8,0.75,0.645,1,0,0,0,0,0
2017,Jacksonville St,Atlantic Sun,15,13,15,0.464285714,0.43,0,0,0,0,0,0
2017,North Carolina,ACC,1,26,7,0.787878788,0.647,1,1,1,1,1,1
2017,Texas Southern,SWAC,16,23,11,0.676470588,0.531,0,0,0,0,0,0
2017,Arkansas,SEC,8,25,8,0.757575758,0.604,1,0,0,0,0,0
2017,Seton Hall,Big East,9,21,11,0.65625,0.586,0,0,0,0,0,0
2017,Minnesota,Big10,5,24,9,0.727272727,0.612,1,0,0,0,0,0
2017,Middle Tennessee,USA,12,29,4,0.878787879,0.596,0,0,0,0,0,0
2017,Butler,Big East,4,23,8,0.741935484,0.626,1,1,0,0,0,0
2017,Winthrop,Big South,13,24,6,0.8,0.556,0,0,0,0,0,0
